mutation_rate,tournament_size,elite_rate,gen,best_fitness,avg_fitness
0.01,2,0.2,0,171.50193912615782,118.48213012599598
0.01,2,0.2,1,171.50193912615782,138.71763052620838
0.01,2,0.2,2,171.66661266851153,143.8532648267739
0.01,2,0.2,3,171.66661266851153,156.6378997935393
0.01,2,0.2,4,171.7146882473971,157.624328783215
0.01,2,0.2,5,171.7146882473971,165.2689306422211
0.01,2,0.2,6,171.90651434787708,164.24653120203146
0.01,2,0.2,7,172.12194751084536,166.36942594382896
0.01,2,0.2,8,172.4873771336491,169.66036718301095
0.01,2,0.2,9,173.35857047900708,169.63657471641326
0.01,2,0.2,10,175.08414219033295,170.3093095781671
0.01,2,0.2,11,175.08414219033295,171.70375899645222
0.01,2,0.2,12,176.2747773271514,172.1742518350447
0.01,3,0.2,0,166.74541746310766,118.26549438197637
0.01,3,0.2,1,169.55236769389177,143.6873938220172
0.01,3,0.2,2,169.55236769389177,158.09600847854293
0.01,3,0.2,3,169.81442078177636,165.28750112049542
0.01,3,0.2,4,177.05708002270825,168.0702795221926
0.01,3,0.2,5,177.05708002270825,166.93376898919115
0.01,3,0.2,6,177.7635921594777,172.63511919315823
0.01,3,0.2,7,177.7635921594777,175.672629259146
0.01,3,0.2,8,178.63184553013724,176.4333088383151
0.01,3,0.2,9,178.99445506811782,177.72933540207458
0.01,3,0.2,10,178.99445506811782,178.380044933926
0.01,3,0.2,11,179.13227206288101,178.2571923209813
0.01,3,0.2,12,182.54096890909483,178.78771856315706
0.01,5,0.2,0,172.22865640246516,133.25573414422257
0.01,5,0.2,1,173.305545156166,155.44078489633114
0.01,5,0.2,2,175.11922618239043,160.65693300277047
0.01,5,0.2,3,175.11922618239043,158.22983497341698
0.01,5,0.2,4,175.26521758447456,164.0614983882089
0.01,5,0.2,5,175.85953465645167,168.55146308856988
0.01,5,0.2,6,176.17448695884565,172.5441349074537
0.01,5,0.2,7,176.8480858259664,172.7771400504504
0.01,5,0.2,8,177.82458497266663,174.865515293722
0.01,5,0.2,9,178.8398950472917,177.15035370971646
0.01,5,0.2,10,178.8398950472917,177.9198131909211
0.01,5,0.2,11,178.8398950472917,178.178497565315
0.01,5,0.2,12,179.00929431806333,178.22788683571454
0.05,2,0.2,0,172.27524698936153,113.24032012499208
0.05,2,0.2,1,172.27524698936153,136.618560632643
0.05,2,0.2,2,173.13561633538046,156.52532790369816
0.05,2,0.2,3,173.242112671175,155.10139734077373
0.05,2,0.2,4,173.242112671175,151.31302118170368
0.05,2,0.2,5,176.50627386482893,162.00653427256054
0.05,2,0.2,6,181.3174510588963,157.70204603040236
0.05,2,0.2,7,181.3174510588963,164.7663015627598
0.05,2,0.2,8,200.4139131285922,177.34992061720402
0.05,2,0.2,9,200.4139131285922,184.7555084778437
0.05,2,0.2,10,200.4139131285922,190.04741117814115
0.05,2,0.2,11,201.42648771063722,192.18020261510705
0.05,2,0.2,12,202.71788516993288,191.75865078870854
0.05,3,0.2,0,164.63625151486775,113.05736724968756
0.05,3,0.2,1,165.53394911199683,132.5778981056328
0.05,3,0.2,2,171.67361432683126,149.86181872979842
0.05,3,0.2,3,175.4327419945282,167.03513659277917
0.05,3,0.2,4,175.4327419945282,166.48804335837005
0.05,3,0.2,5,175.4327419945282,156.5329979499622
0.05,3,0.2,6,181.89906992485214,162.34368615117688
0.05,3,0.2,7,185.85303127124948,173.80388450428998
0.05,3,0.2,8,186.01139083651782,178.8240244680365
0.05,3,0.2,9,194.4243193779256,184.56611952082426
0.05,3,0.2,10,204.28275485010226,189.18827272847625
0.05,3,0.2,11,220.07209623891424,196.45675509384046
0.05,3,0.2,12,220.07209623891424,203.66657478357894
0.05,5,0.2,0,168.01067588850196,112.79771748986781
0.05,5,0.2,1,170.44455123807688,153.29365701267895
0.05,5,0.2,2,171.1079722808576,160.51969016626586
0.05,5,0.2,3,174.18089889753998,167.63443990818178
0.05,5,0.2,4,176.4856652439728,165.92334803953074
0.05,5,0.2,5,176.9640608249539,167.15195306785947
0.05,5,0.2,6,178.62732897809173,175.4798843332522
0.05,5,0.2,7,178.77897777849108,176.83503961787557
0.05,5,0.2,8,185.0199465918371,178.72322357634158
0.05,5,0.2,9,189.18075963878266,181.65528915173755
0.05,5,0.2,10,194.1435407740222,185.1555856165442
0.05,5,0.2,11,196.70544597734659,188.46145350485577
0.05,5,0.2,12,202.2611659007232,193.3075972200341
0.1,2,0.2,0,158.28118202500775,119.26011891566671
0.1,2,0.2,1,163.85485641221368,132.9878858816944
0.1,2,0.2,2,176.60423696090692,149.68592393552538
0.1,2,0.2,3,177.28405321428812,156.00705967032252
0.1,2,0.2,4,178.49840064527194,151.11493220720843
0.1,2,0.2,5,184.60262286949558,165.49409716139343
0.1,2,0.2,6,184.60262286949558,175.04384688560785
0.1,2,0.2,7,186.75024320482203,177.7769957943591
0.1,2,0.2,8,186.75024320482203,175.29387224997438
0.1,2,0.2,9,196.71705775749646,180.48888221868276
0.1,2,0.2,10,200.1114820140175,185.45704283991856
0.1,2,0.2,11,205.59080194602586,187.76692776593012
0.1,2,0.2,12,214.19739256213305,193.88383393074088
0.1,3,0.2,0,171.1885585869656,141.79567717600807
0.1,3,0.2,1,174.3484448668092,150.9715746088623
0.1,3,0.2,2,175.74867164968703,164.04316982503187
0.1,3,0.2,3,192.08680573971188,168.0816069195599
0.1,3,0.2,4,192.08680573971188,165.82129116279032
0.1,3,0.2,5,192.08680573971188,179.0440903074702
0.1,3,0.2,6,192.79007048912848,182.3286162680286
0.1,3,0.2,7,197.23511221736265,186.58204541684017
0.1,3,0.2,8,201.72259110112844,190.90151614856376
0.1,3,0.2,9,204.21047785497464,195.7406665483361
0.1,3,0.2,10,223.7534550759695,204.7920029919135
0.1,3,0.2,11,223.7534550759695,211.07133894724038
0.1,3,0.2,12,227.56589240289867,212.74933799007525
0.1,5,0.2,0,168.3273027958345,134.40262630421157
0.1,5,0.2,1,174.54858112855013,150.00798764531154
0.1,5,0.2,2,174.54858112855013,154.21104933278139
0.1,5,0.2,3,176.8459851776202,153.87845817338862
0.1,5,0.2,4,178.4771240853189,166.41694411556077
0.1,5,0.2,5,180.02567537979726,176.27603491110906
0.1,5,0.2,6,188.38939847452642,178.98437332373314
0.1,5,0.2,7,191.95984281309535,182.4802905497163
0.1,5,0.2,8,208.51830518698898,188.91550114476746
0.1,5,0.2,9,210.5795531951791,198.38070561616752
0.1,5,0.2,10,223.60913025779075,209.55284877788847
0.1,5,0.2,11,223.60913025779075,215.38945990160101
0.1,5,0.2,12,230.88778313676778,218.7629925294658
0.2,2,0.2,0,168.60175481672331,115.09546603296155
0.2,2,0.2,1,170.5152265360408,131.447296983942
0.2,2,0.2,2,189.28582060670345,150.5885502251661
0.2,2,0.2,3,189.28582060670345,152.41202387806754
0.2,2,0.2,4,189.28582060670345,163.60108940156613
0.2,2,0.2,5,189.28582060670345,174.14889055876446
0.2,2,0.2,6,189.28582060670345,177.00722886026284
0.2,2,0.2,7,196.60645926039814,175.8222742635327
0.2,2,0.2,8,200.14387373204107,184.58105126358095
0.2,2,0.2,9,200.14387373204107,184.71118685765487
0.2,2,0.2,10,200.14387373204107,187.1086773229258
0.2,2,0.2,11,212.93942672074985,191.78942665928287
0.2,2,0.2,12,214.37994995473866,200.37159247118984
0.2,3,0.2,0,172.27014989414536,131.50785135086122
0.2,3,0.2,1,172.27014989414536,152.09098633648134
0.2,3,0.2,2,176.2422068484738,154.42935832886633
0.2,3,0.2,3,179.35223845839153,159.54776402222845
0.2,3,0.2,4,204.55218580418546,169.38784865533978
0.2,3,0.2,5,204.55218580418546,176.5970623591921
0.2,3,0.2,6,209.4487432766909,179.11536260417688
0.2,3,0.2,7,217.87641442039137,190.3255964865421
0.2,3,0.2,8,231.65328943548434,197.02165040234888
0.2,3,0.2,9,231.92943403790878,210.518700662367
0.2,3,0.2,10,236.41731368327913,223.42197640519493
0.2,3,0.2,11,236.41731368327913,219.5883818301807
0.2,3,0.2,12,246.59494672745524,233.7615067994497
0.2,5,0.2,0,164.2629356730552,123.8215136739892
0.2,5,0.2,1,174.5212121878558,157.32769320208848
0.2,5,0.2,2,179.4774704970489,162.4840775709543
0.2,5,0.2,3,179.4774704970489,172.9614821004305
0.2,5,0.2,4,187.9082276038747,177.87436546690503
0.2,5,0.2,5,203.72753995707262,185.51718356946242
0.2,5,0.2,6,214.58450792434792,195.9619080212318
0.2,5,0.2,7,218.8451203836882,205.8750837562225
0.2,5,0.2,8,222.16495237436266,213.73180520181734
0.2,5,0.2,9,228.8550374755004,219.25271184539724
0.2,5,0.2,10,228.8550374755004,222.79954389877722
0.2,5,0.2,11,234.4196057657411,225.39618164466432
0.2,5,0.2,12,242.46524626284312,228.52594946920345
